N	numinstance	numrun	budget	fitness	comment
100	9	3	100000	5670	seed=numrun*10^6
100	0	4	10000	5670	seed=numrun*10^6
100	0	4	100000	5670	seed=numrun*10^6
100	1	4	10000	5670	seed=numrun*10^6
100	1	4	100000	5670	seed=numrun*10^6
100	2	4	10000	5670	seed=numrun*10^6
100	2	4	100000	5670	seed=numrun*10^6
100	3	4	10000	5670	seed=numrun*10^6
100	3	4	100000	5670	seed=numrun*10^6
100	4	4	10000	5670	seed=numrun*10^6
100	4	4	100000	5670	seed=numrun*10^6
100	5	4	10000	5670	seed=numrun*10^6
100	5	4	100000	5670	seed=numrun*10^6
100	6	4	10000	5670	seed=numrun*10^6
100	6	4	100000	5670	seed=numrun*10^6
100	7	4	10000	5670	seed=numrun*10^6
100	7	4	100000	5670	seed=numrun*10^6
100	8	4	10000	5670	seed=numrun*10^6
100	8	4	100000	5670	seed=numrun*10^6
100	9	4	10000	5670	seed=numrun*10^6
100	9	4	100000	5670	seed=numrun*10^6
100	0	5	10000	5559	seed=numrun*10^6
100	0	5	100000	5670	seed=numrun*10^6
100	1	5	10000	5559	seed=numrun*10^6
100	1	5	100000	5670	seed=numrun*10^6
100	2	5	10000	5559	seed=numrun*10^6
100	2	5	100000	5670	seed=numrun*10^6
100	3	5	10000	5559	seed=numrun*10^6
100	3	5	100000	5670	seed=numrun*10^6
100	4	5	10000	5559	seed=numrun*10^6
100	4	5	100000	5670	seed=numrun*10^6
100	5	5	10000	5559	seed=numrun*10^6
100	5	5	100000	5670	seed=numrun*10^6
100	6	5	10000	5559	seed=numrun*10^6
100	6	5	100000	5670	seed=numrun*10^6
100	7	5	10000	5559	seed=numrun*10^6
100	7	5	100000	5670	seed=numrun*10^6
100	8	5	10000	5559	seed=numrun*10^6
100	8	5	100000	5670	seed=numrun*10^6
100	9	5	10000	5559	seed=numrun*10^6
100	9	5	100000	5670	seed=numrun*10^6
100	0	6	10000	5544	seed=numrun*10^6
100	0	6	100000	5670	seed=numrun*10^6
100	1	6	10000	5544	seed=numrun*10^6
100	1	6	100000	5670	seed=numrun*10^6
100	2	6	10000	5544	seed=numrun*10^6
100	2	6	100000	5670	seed=numrun*10^6
100	3	6	10000	5544	seed=numrun*10^6
100	3	6	100000	5670	seed=numrun*10^6
100	4	6	10000	5544	seed=numrun*10^6
100	4	6	100000	5670	seed=numrun*10^6
100	5	6	10000	5544	seed=numrun*10^6
100	5	6	100000	5670	seed=numrun*10^6
100	6	6	10000	5544	seed=numrun*10^6
100	6	6	100000	5670	seed=numrun*10^6
100	7	6	10000	5544	seed=numrun*10^6
100	7	6	100000	5670	seed=numrun*10^6
100	8	6	10000	5544	seed=numrun*10^6
100	8	6	100000	5670	seed=numrun*10^6
100	9	6	10000	5544	seed=numrun*10^6
100	9	6	100000	5670	seed=numrun*10^6
100	0	7	10000	5559	seed=numrun*10^6
100	0	7	100000	5670	seed=numrun*10^6
100	1	7	10000	5559	seed=numrun*10^6
100	1	7	100000	5670	seed=numrun*10^6
100	2	7	10000	5559	seed=numrun*10^6
100	2	7	100000	5670	seed=numrun*10^6
100	3	7	10000	5559	seed=numrun*10^6
100	3	7	100000	5670	seed=numrun*10^6
100	4	7	10000	5559	seed=numrun*10^6
100	4	7	100000	5670	seed=numrun*10^6
100	5	7	10000	5559	seed=numrun*10^6
100	5	7	100000	5670	seed=numrun*10^6
100	6	7	10000	5559	seed=numrun*10^6
100	6	7	100000	5670	seed=numrun*10^6
100	7	7	10000	5559	seed=numrun*10^6
100	7	7	100000	5670	seed=numrun*10^6
100	8	7	10000	5559	seed=numrun*10^6
100	8	7	100000	5670	seed=numrun*10^6
100	9	7	10000	5559	seed=numrun*10^6
100	9	7	100000	5670	seed=numrun*10^6
100	0	8	10000	5670	seed=numrun*10^6
100	0	8	100000	5670	seed=numrun*10^6
100	1	8	10000	5670	seed=numrun*10^6
100	1	8	100000	5670	seed=numrun*10^6
100	2	8	10000	5670	seed=numrun*10^6
100	2	8	100000	5670	seed=numrun*10^6
100	3	8	10000	5670	seed=numrun*10^6
100	3	8	100000	5670	seed=numrun*10^6
100	4	8	10000	5670	seed=numrun*10^6
100	4	8	100000	5670	seed=numrun*10^6
100	5	8	10000	5670	seed=numrun*10^6
100	5	8	100000	5670	seed=numrun*10^6
100	6	8	10000	5670	seed=numrun*10^6
100	6	8	100000	5670	seed=numrun*10^6
100	7	8	10000	5670	seed=numrun*10^6
100	7	8	100000	5670	seed=numrun*10^6
100	8	8	10000	5670	seed=numrun*10^6
100	8	8	100000	5670	seed=numrun*10^6
100	9	8	10000	5670	seed=numrun*10^6
100	9	8	100000	5670	seed=numrun*10^6
100	0	9	10000	5670	seed=numrun*10^6
100	0	9	100000	5670	seed=numrun*10^6
100	1	9	10000	5670	seed=numrun*10^6
100	1	9	100000	5670	seed=numrun*10^6
100	2	9	10000	5670	seed=numrun*10^6
100	2	9	100000	5670	seed=numrun*10^6
100	3	9	10000	5670	seed=numrun*10^6
100	3	9	100000	5670	seed=numrun*10^6
100	4	9	10000	5670	seed=numrun*10^6
100	4	9	100000	5670	seed=numrun*10^6
100	5	9	10000	5670	seed=numrun*10^6
100	5	9	100000	5670	seed=numrun*10^6
100	6	9	10000	5670	seed=numrun*10^6
100	6	9	100000	5670	seed=numrun*10^6
100	7	9	10000	5670	seed=numrun*10^6
100	7	9	100000	5670	seed=numrun*10^6
100	8	9	10000	5670	seed=numrun*10^6
100	8	9	100000	5670	seed=numrun*10^6
100	9	9	10000	5670	seed=numrun*10^6
100	9	9	100000	5670	seed=numrun*10^6
